10.5,12.2
10.2,13.4
12.739,11.274
14.662,10.195
10.869,11.850
13.265,11.187
11.872,11.307
13.976,11.232
10.810,12.787
11.010,13.772
13.401,11.999
11.992,10.299
11.328,11.450
12.406,10.820
10.425,10.512
11.594,12.782
12.226,13.199
11.375,13.884
13.342,12.073
14.068,13.031
13.363,14.540
12.781,10.130
10.889,11.323
10.496,10.775
11.867,12.039
10.467,12.501
12.101,12.027
13.184,11.570
13.292,10.428
10.242,11.501
11.251,12.590
12.795,10.551
11.921,10.861
10.027,13.056
11.882,10.360
11.318,14.060
10.173,13.357
33.936,33.671
30.118,30.501
34.837,33.893
30.821,30.216
30.935,32.460
33.401,32.952
33.570,31.070
30.958,34.668
34.668,32.253
33.067,34.228
32.423,31.833
31.095,34.230
32.221,32.720
34.519,34.115
30.140,33.000
34.905,32.086
33.790,33.664
34.722,31.900
33.464,32.613
31.013,32.902
31.529,32.453
30.184,34.865
30.214,34.359
33.219,34.846
31.382,30.374
31.443,33.038
32.372,30.079
34.249,30.491
34.870,33.079
32.741,32.395
31.070,34.764
32.767,30.065
30.795,33.494
34.150,33.700
33.927,31.061
34.427,34.973
60.772,58.814
52.938,50.582
64.248,66.631
60.694,59.287
59.145,65.240
50.946,61.265
61.186,62.144
66.272,57.410
62.670,57.649
50.646,61.190
65.102,68.667
53.614,65.491
68.701,66.310
63.265,68.224
61.499,64.880
66.506,69.471
54.434,69.961
67.949,57.911
68.565,56.173
65.026,55.635
61.892,67.709
66.958,56.383
65.595,59.813
60.036,56.914
55.304,57.161
62.048,60.655
19.905,16.979
15.564,15.613
16.167,17.154
15.347,17.539
18.610,16.378
17.278,15.344
19.135,17.289
18.121,18.502
19.304,15.724
17.967,18.970
18.660,17.304
16.298,18.464
19.966,19.008
16.913,17.979
18.915,19.739
29.040,28.530
26.335,28.541
26.411,25.709
26.212,29.866
29.834,27.276
25.061,28.256
28.287,26.836
25.460,28.381
27.111,27.889
26.317,29.782
28.046,26.290
29.675,29.988
27.509,26.000
25.120,27.377
26.545,27.921

