10.5,12.2,1
10.2,13.4,1
12.739,11.274,4
14.662,10.195,1
10.869,11.85,1
13.265,11.187,1
11.872,11.307,1
13.976,11.232,4
10.81,12.787,4
11.01,13.772,1
13.401,11.999,1
11.992,10.299,1
11.328,11.45,1
12.406,10.82,1
10.425,10.512,1
11.594,12.782,1
12.226,13.199,1
11.375,13.884,1
13.342,12.073,1
14.068,13.031,1
13.363,14.54,1
12.781,10.13,1
10.889,11.323,1
10.496,10.775,1
11.867,12.039,2
10.467,12.501,4
12.101,12.027,1
13.184,11.57,1
13.292,10.428,1
10.242,11.501,1
11.251,12.59,4
12.795,10.551,3
11.921,10.861,0
10.027,13.056,2
11.882,10.36,1
11.318,14.06,3
10.173,13.357,1
33.936,33.671,1
30.118,30.501,1
34.837,33.893,1
30.821,30.216,1
30.935,32.46,15
33.401,32.952,4
33.57,31.07,1
30.958,34.668,1
34.668,32.253,1
33.067,34.228,1
32.423,31.833,1
31.095,34.23,4
32.221,32.72,1
34.519,34.115,6
30.14,33,8
34.905,32.086,3
33.79,33.664,3
34.722,31.9,4
33.464,32.613,1
31.013,32.902,1
31.529,32.453,1
30.184,34.865,1
30.214,34.359,1
33.219,34.846,1
31.382,30.374,1
31.443,33.038,1
32.372,30.079,4
34.249,30.491,1
34.87,33.079,1
32.741,32.395,1
31.07,34.764,1
32.767,30.065,4
30.795,33.494,1
34.15,33.7,1
33.927,31.061,3
34.427,34.973,4
60.772,58.814,4
52.938,50.582,3
64.248,66.631,4
60.694,59.287,4
59.145,65.24,1
50.946,61.265,4
61.186,62.144,1
66.272,57.41,4
62.67,57.649,4
50.646,61.19,1
65.102,68.667,1
53.614,65.491,3
68.701,66.31,1
63.265,68.224,1
61.499,64.88,1
66.506,69.471,2
54.434,69.961,1
67.949,57.911,1
68.565,56.173,1
65.026,55.635,1
61.892,67.709,1
66.958,56.383,2
65.595,59.813,1
60.036,56.914,1
55.304,57.161,1
62.048,60.655,3
